ID,Description,Mode,Offset ,Size, Modbus,Lukoil,TNK
1050100150,тип ВД,5,2,2,0,,
1050000020,номинальная мощность,5,4,2,0,,
1050000030,количество пар полюсов,5,6,1,0,0,0
1050109020,минимальные обороты ВД,5,7,2,0,0,0
1050109030,максимальные обороты ВД,5,9,2,0,0,0
1050110080,ток по АСХ З,5,11,1,0,0,0
1050101010,время по АСХ 3,5,12,1,0,0,0
1050110090,ток по АСХ 2,5,13,1,0,0,0
1050101020,время по АСХ 2,5,14,1,0,0,0
1050110100,ток по АСХ 1,5,15,1,0,0,0
1050101030,время по АСХ 1,5,16,1,0,0,0
1050110030,минимальный ток,2,7,1,0,0,0
1050110040,максимальный ток,2,8,1,0,0,0
1050111080,выходное линейное напряжение UV,2,9,2,0,0,0
1050111090,выходное линейное напряжениеVW,2,11,2,0,0,0
1050111100,выходное линейное напряжение WU,2,13,2,0,0,0
1050111110,минимальное выходное линейное напряжение,2,15,2,0,0,0
1050111120,максимальное выходное линейное напряжение,2,17,2,0,0,0
1050104000,температура радиатора 1,2,25,1,0,0,0
1050104010,температура радиатора 2,2,26,1,0,0,0
1050100110,код состояния ПЧ 0,2,27,1,0,0,0
1050100120,код состояния ПЧ 1,2,28,1,0,0,0
1050100130,код состояния ПЧ 2,2,29,1,0,0,0
1050100140,код состояния ПЧ 3,2,30,1,0,0,0
1050100090,Код состояния СУ,any,0,1,0x100,0xFF,0x100
1050100100,Код неисправности СУ,any,1,1,0x101,,0x101 0x102
1050102000,Дата и время последнего останова,,,,0,0,0
1050101000,Время оставшееся до автозапуска (время АПВ),0,13,2,0,0x0FD,0x107
1050110050,Ток фазы А,2,4,1,0x108,0,0
1050110060,Ток фазы В,2,5,1,0x109,0,0
1050110070,Ток фазы С,2,6,1,0x10A,0,0
1050010000,Дисбаланс токов,,,,0x10B,0,0
1050111000,Входное напряжение АВ,2,19,2,0x10C,0,0
1050111010,Входное напряжение ВC,2,21,2,0x10D,0,0
1050111020,Входное напряжение CA,2,23,2,0x10E,0,0
1050111070,Среднее напряжение на входе СУ,0,5,2,0,0x10F,0x11A
1050110020,Установившееся значение тока ВД для защит по %,0,15,1,0,0,0
1050100060,Дисбаланс входных напряжений,0,8,1,0x10f,0x112,0x10F
1050100070,Дисбаланс выходных напряжений,0,9,1,0,0,0
1050100080,Дисбаланс выходных токов,0,10,1,0,0x111,0x10B
1050112030,Расход энергии,,,,0,0x90F,0
1050110010,Средний ток ВД,0,4,1,0,0x10E,0x119
1050100050,Загрузка двигателя,0,7,1,0x111,0x109,0x111
1050112010,Полная мощность,0,35,2,0x112,0x117,0x112
1050112020,Активная мощность,0,18,1,0x113,0x116,0x113
1050117000,"Сопротивление изоляции, кОм",0,11,2,0x114,0x101,0x114
1050109010,Число оборотов ВД,0,2,2,0,0,0
1050115000,Выходная частота ПЧ,,,,0x116,0x10D,0x116
1050201000,"Общее время работы насоса, час",0,27,2,0,0x903,0x11B
1050102010,Общее количество запусков насоса,0,25,2,0,0x900,0x11C
1050601010, Время наработки станции в ч,0,31,2,0,0,0
1080105030,Давление на приеме насоса (пласт. жидкость),0,17,1,0x121,0x11E,0x121
1080104010,"Температура на приеме насоса (масло двигателя), °С",0,16,1,0x125,0x11B,0x125
1080104020,"Температура обмоток двигателя, °С",3,2,1,0x126,0x11A,0x124
1080100009,"Вибрация насоса по оси X, м/с2",3,4,2,0x128,0x11C,0x128
1080100010,"Вибрация насоса по оси Y, м/с2",3,8,2,0x129,0x11D,0x129
1080118000,"Вибрация насоса по оси Z, м/с2",3,12,2,0,0,0
